City_ID,City,Country,Date,lat,lng,Humidity,Wind Speed,Max Temp,Cloudiness
0,Hermanus,ZA,1585697097,-34.42,19.23,89,11.95,61.0,{'all': 34}
1,Ushuaia,AR,1585696974,-54.8,-68.3,76,12.75,48.2,{'all': 40}
2,Vestmanna,FO,1585697097,62.16,-7.17,87,28.86,44.6,{'all': 100}
3,Husavik,IS,1585697448,66.04,-17.34,51,39.15,39.2,{'all': 90}
4,Tasiilaq,GL,1585697448,65.61,-37.64,29,29.97,24.8,{'all': 2}
5,Selma,US,1585697448,36.57,-119.61,46,3.36,73.99,{'all': 1}
6,Tshela,CD,1585697448,-4.98,12.93,91,0.31,74.91,{'all': 59}
7,Rikitea,PF,1585697448,-23.12,-134.97,72,8.23,79.2,{'all': 100}
8,Ilulissat,GL,1585697448,69.22,-51.1,71,17.22,3.2,{'all': 99}
9,Hobart,AU,1585697243,-42.88,147.33,67,4.7,64.0,{'all': 20}
10,Butaritari,KI,1585697051,3.07,172.79,78,17.58,83.86,{'all': 83}
11,Albany,US,1585696845,42.6,-73.97,81,5.82,46.4,{'all': 75}
12,Humboldt,US,1585697448,40.67,-123.92,93,13.87,54.0,{'all': 75}
13,Tura,IN,1585697449,25.52,90.22,27,0.56,65.41,{'all': 0}
14,Pasni,PK,1585697449,25.26,63.47,74,8.9,72.36,{'all': 0}
15,Qaanaaq,GL,1585697449,77.48,-69.36,80,4.18,5.63,{'all': 95}
16,Iqaluit,CA,1585697271,63.75,-68.51,58,3.36,-4.0,{'all': 20}
17,Atuona,PF,1585697449,-9.8,-139.03,79,13.6,82.31,{'all': 5}
18,Punta Arenas,CL,1585696947,-53.15,-70.92,71,8.05,51.8,{'all': 75}
19,Veinticinco de Mayo,AR,1585697449,-35.43,-60.17,90,8.01,69.01,{'all': 99}
20,Mataura,NZ,1585696759,-46.19,168.86,87,1.01,60.01,{'all': 12}
21,Mandera,KE,1585697449,3.94,41.87,16,15.41,86.0,{'all': 73}
22,Esfarāyen,IR,1585697449,37.08,57.51,93,2.24,41.0,{'all': 20}
23,Castro,BR,1585697189,-24.79,-50.01,63,2.33,66.18,{'all': 18}
24,Loukhi,RU,1585697449,66.08,33.04,97,7.99,24.58,{'all': 100}
25,Macao,MO,1585697164,22.2,113.55,93,16.11,66.2,{'all': 40}
26,Kumul,CN,1585697449,42.8,93.45,39,13.71,41.83,{'all': 0}
27,Upernavik,GL,1585697449,72.79,-56.15,89,16.71,-4.04,{'all': 69}
28,Amuntai,ID,1585697220,-2.42,115.25,89,0.96,76.89,{'all': 89}
29,Salalah,OM,1585697449,17.02,54.09,88,1.12,80.6,{'all': 40}
30,Tuktoyaktuk,CA,1585697051,69.45,-133.04,60,19.46,10.4,{'all': 20}
31,Vila,PT,1585697450,42.03,-8.16,93,4.7,51.01,{'all': 75}
32,Caravelas,BR,1585697450,-17.71,-39.25,87,7.72,78.46,{'all': 74}
33,Southbridge,US,1585697450,42.08,-72.03,48,4.7,46.0,{'all': 1}
34,Maumere,ID,1585697450,-8.62,122.21,66,1.72,83.61,{'all': 67}
35,Kapaa,US,1585697450,22.08,-159.32,65,10.29,78.8,{'all': 40}
36,São João da Barra,BR,1585697289,-21.64,-41.05,82,8.43,76.91,{'all': 15}
37,Jamestown,US,1585697246,42.1,-79.24,93,3.36,44.6,{'all': 90}
38,Trujillo,PE,1585697262,-8.12,-79.03,74,6.69,74.91,{'all': 93}
39,Narsaq,GL,1585697450,60.92,-46.05,82,1.12,32.0,{'all': 20}
40,Geraldton,AU,1585697450,-28.77,114.6,82,4.7,60.8,{'all': 59}
41,Kalmunai,LK,1585697450,7.42,81.82,71,5.95,77.56,{'all': 41}
42,Avarua,CK,1585697450,-21.21,-159.78,79,9.17,87.8,{'all': 75}
43,Puerto Ayora,EC,1585697450,-0.74,-90.35,74,6.93,82.4,{'all': 20}
44,Barrow,US,1585696801,71.29,-156.79,66,19.46,15.8,{'all': 1}
45,Ribeira Grande,PT,1585697450,38.52,-28.7,69,30.78,57.34,{'all': 97}
46,New Norfolk,AU,1585697051,-42.78,147.06,67,4.7,64.0,{'all': 20}
47,San Patricio,MX,1585697254,19.22,-104.7,79,11.41,84.2,{'all': 5}
48,Hilo,US,1585697451,19.73,-155.09,69,5.82,77.0,{'all': 90}
49,Longyearbyen,SJ,1585697451,78.22,15.64,83,1.12,-4.0,{'all': 20}
50,Sangar,RU,1585697451,63.92,127.47,95,4.03,21.78,{'all': 100}
51,Fallon,US,1585697451,39.47,-118.78,22,19.46,66.2,{'all': 40}
52,Busselton,AU,1585697051,-33.65,115.33,74,5.79,57.0,{'all': 99}
53,Airai,TL,1585697051,-8.93,125.41,58,1.95,68.79,{'all': 95}
54,Jāwad,IN,1585697451,24.6,74.85,24,7.0,73.06,{'all': 0}
55,Margate,GB,1585697316,51.38,1.39,86,4.7,42.01,{'all': 0}
56,Östersund,SE,1585697451,63.18,14.64,89,20.8,33.01,{'all': 29}
57,Mavrovi Anovi,MK,1585697451,41.7,20.76,66,4.03,27.97,{'all': 91}
58,Segezha,RU,1585697451,63.74,34.32,97,12.35,25.61,{'all': 100}
59,Dingle,PH,1585697451,11.0,122.67,74,10.71,81.57,{'all': 85}
